Origin,0,0,0,0.1,0,0,0,0.2,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,0,0.4,0,0.2,0,front,D509,ZD501,
D509,3181f2,3.85,1.7,1.45,-1,2.8,0,0.325,0,front,null,R501,
R501,191282,2,1.25,0.5,-1,2.8,2.35,0.325,0,front,null,null,
ZD501,0e5ac4,3.85,1.7,1.45,-1,0.4,9.4,0.325,0,front,null,R503,
R503,055d7d,3.2,1.6,0.6,-1,0.4,11.75,0.325,0,front,T501,null,
T501,cecad488,24,22,24.9,0,4.25,11.75,0.2,0,front,null,null,
B_RootHole,0,2,9,0.1,0,0,0,0.2,0,back,Q504,C518,
Q504,3282bf,5.35,6.15,1,-1,2.4,0,0.325,0,back,C506,ZD502,
C506,1f2a8c,3.2,1.6,1.6,-1,8.4,0,0.325,0,back,C511,D503,
C511,5a12a6,3.5,1.9,1.9,-1,12.25,0,0.325,0,back,null,ZD504,
ZD504,e02900,5.4,3.6,2.3,1,12.25,2.55,0.325,0,back,null,null,
D503,2225d6,3.9,2,1.5,-1,8.4,6.8,0.325,0,back,null,null,
ZD502,470fff,2.7,1.35,0.78,-1,2.4,6.8,0.325,0,back,null,null,
C518,2e6ef0,1.6,0.8,0.8,-1,0,9.4,0.325,0,back,C525,C520,
C525,385369,1.6,0.8,0.8,-1,2.25,9.4,0.325,0,back,null,D501,
D501,2e6ef0,3.85,1.7,1.45,-1,2.25,10.85,0.325,0,back,R526,null,
R526,0361ad,1.6,0.8,0.45,-1,6.75,9.45,0.325,0,back,R520,D506,
R520,9049A1,1.02,0.51,0.51,-1,9,9.45,0.325,0,back,null,L501,
L501,368f99,4.6,4.1,2,-1,9,10.61,0.325,0,back,R530,R517,
R530,f24b4b,1.6,3.2,0.6,1,14.25,6.8,0.325,270,back,R532,D508,
R532,e0a500,3.2,1.6,0.6,1,16.5,6.8,0.325,0,back,null,null,
D508,ffc72b,3.9,2,1.2,1,14.25,10.65,0.325,180,back,R527,null,
R527,00a5e0,1.02,0.51,0.51,-1,14.25,13.3,0.325,0,back,null,null,
R517,4e1f8c,2,1.25,0.6,-1,9,15.36,0.325,0,back,C519,null,
C519,d49c11,2,1.25,1.25,1,11.65,15.36,0.325,0,back,R519,C502,
R519,ff8e61,1.02,0.51,0.51,1,14.3,14.46,0.325,0,back,C505,R531,
C505,092cb8,3.2,1.6,1.6,-1,15.97,13.3,0.325,0,back,null,null,
R531,ff6161,1.6,3.2,0.6,1,14.3,15.62,0.325,270,back,R523,null,
R523,ad430e,1.6,0.8,0.45,1,16.55,15.55,0.325,0,back,null,C512,
C512,f27a46,3.5,1.9,1.9,1,16.55,17,0.325,0,back,M503,null,
M503,1a1a1a,9.4,13.43,1.35,0,20.7,0,0.2,0,back,null,null,
C502,4595ad,1.9,3.5,1.9,-1,11.65,17.26,0.325,270,back,R515,null,
R515,6857b5,3.2,1.6,0.6,-1,14.2,19.55,0.325,0,back,null,D505,
D505,fc9803,2,3.9,1.5,1,14.2,21.8,0.325,90,back,R518,null,
R518,3609d9,1.02,0.51,0.51,-1,16.85,21.8,0.325,0,back,null,null,
D506,225d6e,2.8,1.35,1.1,-1,6.75,17.26,0.325,0,back,C507,null,
C507,094a66,7.8,6.8,6.1,-1,10.2,26.35,0.325,0,back,null,null,
C520,7babd1,0.5,1,0.5,-1,2.25,13.2,0.325,270,back,null,null,
