Origin,0,1.2,1.2,0.1,0,0,0,0.2,0,,F_RootHole,B_RootHole,
F_RootHole,0,2.4,9.4,0.1,0,1.2,0,0.2,0,,D505,R523,
D505,fc9803,6.9,5,1.5,1,3.6,0,1.5,0,,C507,C518,
C507,094a66,7.45,8.45,6.1,-1,10.5,0,0.325,90,,ZD502,Q504,
ZD502,470fff,3.35,2,0.78,-1,17.95,0,0.325,0,,R503,D501,
R503,055d7d,3.85,2.25,0.6,-1,21.3,0,0.325,0,,null,C511,
C511,5a12a6,4.15,2.55,1.9,-1,21.3,2.25,0.325,0,,C506,null,
C506,1f2a8c,2.25,3.85,1.6,-1,25.45,0,0.325,270,,null,R527,
R527,00a5e0,1.67,1.16,0.51,-1,25.45,3.85,0.325,0,,null,null,
D501,2e6ef0,2.35,4.5,1.45,-1,17.95,2,0.325,90,,null,null,
Q504,3282bf,6,6.8,1,-1,10.5,8.45,0.325,0,,null,null,
C518,65735,1.45,2.25,0.8,-1,3.6,5,0.325,270,,null,null,
R523,ad430e,4.6,3.8,0.45,1,1.2,9.4,1.5,180,,D503,C512,
D503,2225d6,4.55,2.65,1.5,-1,5.8,5,0.325,180,,null,null,
C512,f27a46,6.5,4.9,1.9,1,1.2,13.2,1.5,0,,C502,D508,
C502,4595ad,2.55,4.15,1.9,-1,7.7,7.65,0.325,90,,null,R501,
R501,191282,2.65,1.9,0.5,-1,7.7,11.8,0.325,180,,null,null,
D508,ffc72b,6.9,5,1.2,1,1.2,18.1,1.5,0,,C505,ZD504,
C505,092cb8,3.85,2.25,1.6,-1,8.1,15.25,0.325,0,,null,null,
ZD504,e02900,8.4,6.6,2.3,1,1.2,23.1,1.5,0,,C525,null,
C525,385369,2.25,1.45,0.8,-1,9.6,17.5,0.325,180,,null,C520,
C520,7babd1,1.15,1.65,0.5,-1,9.6,18.95,0.325,270,,R517,null,
R517,4e1f8c,2.65,1.9,0.6,-1,10.75,18.95,0.325,0,,M503,D506,
M503,1a1a1a,9.8,13.9,1.35,0,13.4,15.25,0.2,180,,L501,null,
L501,368f99,4.75,5.25,2,-1,23.2,5.01,0.325,270,,R518,null,
R518,3609d9,1.16,1.67,0.51,-1,27.95,0,0.325,270,,null,R520,
R520,9049A1,1.16,1.67,0.51,-1,27.95,1.67,0.325,270,,null,null,
D506,225d6e,3.45,2,1.1,-1,10.75,29.15,0.325,0,,null,null,
B_RootHole,0,2.4,9.4,0.1,0,0,0,0.2,0,,C519,R530,
C519,d49c11,5,4.25,1.25,1,2.4,0,1.5,0,,D509,null,
D509,3181f2,4.5,2.35,1.45,-1,7.4,0,0.325,180,,R515,null,
R515,6857b5,3.85,2.25,0.6,-1,11.9,0,0.325,0,,ZD501,null,
ZD501,0e5ac4,4.5,2.35,1.45,-1,15.75,0,0.325,0,,null,R526,
R526,0361ad,2.25,1.45,0.45,-1,15.75,2.35,0.325,0,,null,null,
R530,f24b4b,4.6,6.2,0.6,1,0,9.4,1.5,270,,R519,R531,
R519,ff8e61,4.02,3.51,0.51,1,4.6,4.25,1.5,0,,null,null,
R531,ff6161,6.2,4.6,0.6,1,0,15.6,1.5,0,,null,R532,
R532,e0a500,6.2,4.6,0.6,1,0,20.2,1.5,0,,T501,null,
T501,cecad4,22.4,24.4,24.9,0,6.2,7.76,0.2,0,,null,null,
