Origin,0,1.2,1.2,0.1,0,0,0,0.2,0,,F_RootHole,B_RootHole,
F_RootHole,0,2.4,9.4,0.1,0,1.2,0,0.2,0,,D505,ZD504,
D505,fc9803,5,6.9,1.5,1,3.6,0,1.5,270,,R532,C519,
R532,e0a500,6.2,4.6,0.6,1,8.6,0,1.5,0,,C507,R519,
C507,094a66,8.45,7.45,6.1,-1,14.8,0,0.325,0,,D509,null,
D509,3181f2,4.5,2.35,1.45,-1,23.25,0,0.325,0,,null,R501,
R501,191282,2.65,1.9,0.5,-1,23.25,2.35,0.325,0,,D506,R527,
D506,225d6e,3.45,2,1.1,-1,25.9,2.35,0.325,180,,null,C506,
C506,1f2a8c,2.25,3.85,1.6,-1,25.9,4.35,0.325,270,,null,R526,
R526,0361ad,2.25,1.45,0.45,-1,25.9,8.2,0.325,0,,null,C518,
C518,65735,2.25,1.45,0.8,-1,25.9,9.65,0.325,0,,null,null,
R527,00a5e0,1.67,1.16,0.51,-1,23.25,4.25,0.325,0,,R517,null,
R517,4e1f8c,2.65,1.9,0.6,-1,24.92,11.1,0.325,180,,null,null,
R519,ff8e61,3.51,4.02,0.51,1,8.6,4.6,1.5,270,,R518,null,
R518,3609d9,1.67,1.16,0.51,-1,12.11,4.6,0.325,0,,null,null,
C519,d49c11,5,4.25,1.25,1,3.6,6.9,1.5,0,,C505,C512,
C505,092cb8,2.25,3.85,1.6,-1,8.6,8.62,0.325,90,,null,null,
C512,f27a46,4.9,6.5,1.9,1,3.6,11.15,1.5,90,,null,null,
ZD504,e02900,8.4,6.6,2.3,1,1.2,17.65,1.5,0,,Q504,L501,
Q504,3282bf,6,6.8,1,-1,9.6,12.47,0.325,0,,null,null,
L501,368f99,4.75,5.25,2,-1,1.2,24.25,0.325,270,,R531,null,
R531,ff6161,6.2,4.6,0.6,1,5.95,24.25,1.5,0,,ZD501,null,
ZD501,0e5ac4,2.35,4.5,1.45,-1,12.15,19.27,0.325,90,,R503,null,
R503,055d7d,2.25,3.85,0.6,-1,14.5,19.27,0.325,90,,M503,null,
M503,1a1a1a,9.8,13.9,1.35,0,16.75,13,0.2,0,,R520,null,
R520,9049A1,1.67,1.16,0.51,-1,26.55,13,0.325,0,,null,null,
B_RootHole,0,2.4,9.4,0.1,0,0,0,0.2,0,,D508,null,
D508,ffc72b,6.9,5,1.2,1,2.4,0,1.5,180,,R523,T501,
R523,ad430e,3.8,4.6,0.45,1,9.3,0,1.5,270,,D501,null,
D501,2e6ef0,4.5,2.35,1.45,-1,13.1,0,0.325,0,,null,null,
T501,cecad4,22.4,24.4,24.9,0,2.4,5,0.2,0,,C502,C525,
C502,4595ad,2.55,4.15,1.9,-1,24.8,0,0.325,270,,ZD502,C511,
ZD502,470fff,2,3.35,0.78,-1,27.35,0,0.325,270,,null,null,
C511,5a12a6,4.15,2.55,1.9,-1,24.8,4.15,0.325,0,,null,R530,
R530,f24b4b,4.6,6.2,0.6,1,24.8,6.7,1.5,270,,null,D503,
D503,2225d6,2.65,4.55,1.5,-1,24.8,12.9,0.325,270,,C520,R515,
C520,7babd1,1.65,1.15,0.5,-1,27.45,12.9,0.325,0,,null,null,
R515,6857b5,2.25,3.85,0.6,-1,24.8,17.45,0.325,90,,null,null,
C525,385369,2.25,1.45,0.8,-1,2.4,29.4,0.325,0,,null,null,
