Origin,0,0,0,0.1,0,0,0,0.2,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,0,0.4,0,0.2,0,front,ZD502,C507,
ZD502,470fff,1.35,2.7,0.78,-1,2.8,0,0.325,90,front,R526,ZD501,
R526,0361ad,0.8,1.6,0.45,-1,4.8,0,0.325,90,front,null,null,
ZD501,0e5ac4,3.85,1.7,1.45,-1,2.8,3.35,0.325,180,front,R501,D503,
R501,191282,2,1.25,0.5,-1,7.3,0,0.325,0,front,Q504,D501,
Q504,3282bf,6.15,5.35,1,-1,9.95,0,0.325,270,front,R523,R503,
R523,ad430e,0.8,1.6,0.45,1,16.75,0,0.325,270,front,null,D508,
D508,ffc72b,2,3.9,1.2,1,16.75,2.25,0.325,90,front,null,null,
R503,055d7d,3.2,1.6,0.6,-1,9.95,6,0.325,180,front,R517,null,
R517,4e1f8c,1.25,2,0.6,-1,13.8,6,0.325,90,front,C520,null,
C520,7babd1,0.5,1,0.5,-1,15.7,6.8,0.325,270,front,C519,M503,
C519,d49c11,1.25,2,1.25,1,16.85,6.8,0.325,270,front,R530,R519,
R530,f24b4b,1.6,3.2,0.6,1,18.75,6.8,0.325,90,front,R532,null,
R532,e0a500,3.2,1.6,0.6,1,21,0,0.325,0,front,R531,null,
R531,ff6161,3.2,1.6,0.6,1,24.85,0,0.325,180,front,null,D505,
D505,fc9803,2,3.9,1.5,1,24.85,2.25,0.325,270,front,null,C512,
C512,f27a46,3.5,1.9,1.9,1,24.85,6.8,0.325,0,front,null,null,
R519,ff8e61,1.02,0.51,0.51,1,16.85,9.45,0.325,0,front,ZD504,null,
ZD504,e02900,3.6,5.4,2.3,1,18.52,10.65,0.325,270,front,null,null,
M503,1a1a1a,9.4,13.43,1.35,0,15.7,16.7,0.2,0,front,null,null,
D501,2e6ef0,1.7,3.85,1.45,-1,7.3,1.9,0.325,270,front,null,R518,
R518,3609d9,0.51,1.02,0.51,-1,7.3,6.4,0.325,90,front,null,null,
D503,2225d6,2,3.9,1.5,-1,2.8,5.7,0.325,90,front,null,R520,
R520,9049A1,0.51,1.02,0.51,-1,2.8,10.25,0.325,90,front,null,R515,
R515,6857b5,3.2,1.6,0.6,-1,2.8,11.92,0.325,180,front,C511,null,
C511,5a12a6,3.5,1.9,1.9,-1,6.65,8.25,0.325,180,front,null,C506,
C506,1f2a8c,3.2,1.6,1.6,-1,6.65,10.8,0.325,180,front,null,null,
C507,094a66,6.8,7.8,6.1,-1,0.4,14.17,0.325,90,front,C525,D509,
C525,385369,1.6,0.8,0.8,-1,7.85,13.05,0.325,180,front,R527,null,
R527,00a5e0,1.02,0.51,0.51,-1,10.1,13.05,0.325,0,front,null,C505,
C505,092cb8,3.2,1.6,1.6,-1,10.1,14.21,0.325,0,front,null,null,
D509,3181f2,1.7,3.85,1.45,-1,0.4,22.62,0.325,90,front,L501,null,
L501,368f99,4.6,4.1,2,-1,2.75,22.62,0.325,180,front,null,null,
B_RootHole,0,2,9,0.1,0,0,0,0.2,0,back,null,C502,
C502,4595ad,1.9,3.5,1.9,-1,0,9.4,0.325,90,back,T501,D506,
T501,cecad488,22,24,24.9,0,2.55,0,0.2,0,back,null,C518,
C518,a65735,1.6,0.8,0.8,-1,2.55,24.4,0.325,0,back,null,null,
D506,225d6e,2.8,1.35,1.1,-1,0,25.85,0.325,180,back,null,null,
