Origin,0,0,0,0.1,0,0,0,0.2,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,0,0.4,0,0.2,0,front,D509,D506,
D509,3181f2,3.85,1.7,1.45,-1,2.8,0,0.325,0,front,R527,R530,
R527,00a5e0,1.02,0.51,0.51,-1,7.3,0,0.325,0,front,C512,Q504,
C512,f27a46,3.5,1.9,1.9,1,8.97,0,0.325,0,front,null,null,
Q504,3282bf,5.35,6.15,1,-1,7.3,2.55,0.325,0,front,R532,null,
R532,e0a500,1.6,3.2,0.6,1,13.3,0,0.325,270,front,null,null,
R530,f24b4b,1.6,3.2,0.6,1,2.8,2.35,0.325,90,front,R531,ZD502,
R531,ff6161,3.2,1.6,0.6,1,5.05,9.35,0.325,0,front,null,null,
ZD502,470fff,2.7,1.35,0.78,-1,2.8,11.6,0.325,0,front,D503,R519,
D503,2225d6,3.9,2,1.5,-1,2.8,13.6,0.325,0,front,null,R503,
R503,055d7d,3.2,1.6,0.6,-1,2.8,16.25,0.325,0,front,R523,C506,
R523,ad430e,1.6,0.8,0.45,1,6.65,16.25,0.325,0,front,null,R517,
R517,4e1f8c,2,1.25,0.6,-1,6.65,17.7,0.325,0,front,null,null,
C506,1f2a8c,3.2,1.6,1.6,-1,6.65,19.6,0.325,0,front,null,null,
R519,ff8e61,1.02,0.51,0.51,1,2.8,18.5,0.325,0,front,D505,ZD504,
D505,fc9803,3.9,2,1.5,1,4.47,21.85,0.325,0,front,D501,R526,
D501,2e6ef0,3.85,1.7,1.45,-1,9.02,21.85,0.325,0,front,M503,null,
M503,1a1a1a,9.4,13.43,1.35,0,13.52,3.85,0.2,0,front,null,C519,
C519,d49c11,2,1.25,1.25,1,13.52,17.68,0.325,0,front,null,null,
R526,0361ad,1.6,0.8,0.45,-1,4.47,24.5,0.325,0,front,L501,null,
L501,368f99,4.6,4.1,2,-1,6.72,24.5,0.325,0,front,null,null,
ZD504,e02900,5.4,3.6,2.3,1,2.8,29.25,0.325,0,front,C502,null,
C502,4595ad,3.5,1.9,1.9,-1,8.85,29.25,0.325,0,front,null,null,
D506,225d6e,2.8,1.35,1.1,-1,0.4,33.5,0.325,0,front,R501,null,
R501,191282,2,1.25,0.5,-1,3.85,33.5,0.325,0,front,null,null,
B_RootHole,0,2,9,0.1,0,0,0,0.2,0,back,D508,ZD501,
D508,ffc72b,3.9,2,1.2,1,2.4,0,0.325,0,back,null,C507,
C507,094a66,7.8,6.8,6.1,-1,2.4,2.65,0.325,0,back,R518,null,
R518,3609d9,1.02,0.51,0.51,-1,10.85,0,0.325,0,back,null,C518,
C518,a65735,1.6,0.8,0.8,-1,10.85,1.16,0.325,0,back,null,null,
ZD501,0e5ac4,3.85,1.7,1.45,-1,0,10.1,0.325,0,back,R515,R520,
R515,6857b5,3.2,1.6,0.6,-1,4.5,10.1,0.325,0,back,null,C520,
C520,7babd1,1,0.5,0.5,-1,4.5,12.35,0.325,0,back,null,null,
R520,9049A1,0.51,1.02,0.51,-1,0,12.45,0.325,90,back,C511,C525,
C511,5a12a6,3.5,1.9,1.9,-1,1.16,13.5,0.325,0,back,C505,null,
C505,092cb8,3.2,1.6,1.6,-1,5.31,13.5,0.325,0,back,T501,null,
T501,cecad488,22,24,24.9,0,9.16,10.1,0.2,0,back,null,null,
C525,385369,0.8,1.6,0.8,-1,0,16.05,0.325,90,back,null,null,
