Origin,0,0,0,0.1,0,0,0,0.2,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,0,0.4,0,0.2,0,front,C505,C507,
C505,092cb8,3.2,1.6,1.6,-1,2.8,0,0.325,0,front,R501,D501,
R501,191282,2,1.25,0.5,-1,6.65,0,0.325,0,front,Q504,ZD502,
Q504,3282bf,5.35,6.15,1,-1,9.3,0,0.325,0,front,null,C519,
C519,d49c11,2,1.25,1.25,1,9.3,6.8,0.325,0,front,null,ZD504,
ZD504,e02900,5.4,3.6,2.3,1,9.3,8.7,0.325,0,front,M503,R520,
M503,1a1a1a,9.4,13.43,1.35,0,15.35,0,0.2,180,front,null,null,
R520,9049A1,1.02,0.51,0.51,-1,9.3,12.95,0.325,0,front,null,null,
ZD502,470fff,2.7,1.35,0.78,-1,6.65,14.11,0.325,0,front,R519,null,
R519,ff8e61,1.02,0.51,0.51,1,10,14.11,0.325,0,front,D506,R503,
D506,225d6e,2.8,1.35,1.1,-1,11.67,12.95,0.325,0,front,null,null,
R503,055d7d,3.2,1.6,0.6,-1,10,15.27,0.325,0,front,C518,null,
C518,a65735,1.6,0.8,0.8,-1,13.85,14.95,0.325,0,front,D505,null,
D505,fc9803,3.9,2,1.5,1,16.1,13.83,0.325,0,front,R523,R531,
R523,ad430e,1.6,0.8,0.45,1,20.65,13.83,0.325,180,front,null,C512,
C512,f27a46,3.5,1.9,1.9,1,20.65,15.28,0.325,0,front,null,null,
R531,ff6161,3.2,1.6,0.6,1,16.1,16.48,0.325,0,front,null,null,
D501,2e6ef0,3.85,1.7,1.45,-1,2.8,16.11,0.325,0,front,C511,C506,
C511,5a12a6,3.5,1.9,1.9,-1,7.3,17.52,0.325,180,front,null,null,
C506,1f2a8c,1.6,3.2,1.6,-1,2.8,18.46,0.325,270,front,null,null,
C507,094a66,7.8,6.8,6.1,-1,0.4,22.31,0.325,0,front,R530,null,
R530,f24b4b,3.2,1.6,0.6,1,8.85,20.07,0.325,0,front,R532,ZD501,
R532,e0a500,3.2,1.6,0.6,1,12.7,18.73,0.325,0,front,null,R517,
R517,4e1f8c,1.25,2,0.6,-1,12.7,20.98,0.325,90,front,null,L501,
L501,368f99,4.6,4.1,2,-1,12.7,23.63,0.325,0,front,null,null,
ZD501,0e5ac4,3.85,1.7,1.45,-1,8.85,28.38,0.325,0,front,D509,null,
D509,3181f2,3.85,1.7,1.45,-1,13.35,28.38,0.325,0,front,null,D508,
D508,ffc72b,3.9,2,1.2,1,13.35,30.73,0.325,180,front,null,null,
B_RootHole,0,2,9,0.1,0,0,0,0.2,0,back,null,C502,
C502,4595ad,3.5,1.9,1.9,-1,0,9.4,0.325,0,back,T501,R527,
T501,cecad488,24,22,24.9,0,4.15,0,0.2,90,back,null,null,
R527,00a5e0,1.02,0.51,0.51,-1,0,11.95,0.325,0,back,null,R515,
R515,6857b5,1.6,3.2,0.6,-1,0,13.11,0.325,270,back,C520,R518,
C520,7babd1,1,0.5,0.5,-1,2.25,11.95,0.325,0,back,D503,null,
D503,2225d6,3.9,2,1.5,-1,3.9,22.4,0.325,0,back,null,null,
R518,3609d9,1.02,0.51,0.51,-1,0,16.96,0.325,0,back,C525,R526,
C525,385369,1.6,0.8,0.8,-1,1.67,25.05,0.325,0,back,null,null,
R526,0361ad,1.6,0.8,0.45,-1,0,26.5,0.325,0,back,null,null,
