Origin,0,0,0,0.1,0,0,0,0.2,0,,F_RootHole,B_RootHole,
F_RootHole,0,2,9,0.1,0,0.4,0,0.2,0,front,ZD502,C507,
ZD502,470fff,2.7,1.35,0.78,-1,2.8,0,0.325,0,front,R520,D501,
R520,9049A1,1.02,0.51,0.51,-1,6.15,0,0.325,180,front,null,null,
D501,2e6ef0,1.7,3.85,1.45,-1,2.8,2,0.325,270,front,D503,null,
D503,2225d6,3.9,2,1.5,-1,5.15,2,0.325,0,front,R526,L501,
R526,0361ad,0.8,1.6,0.45,-1,9.7,0,0.325,270,front,Q504,null,
Q504,3282bf,6.15,5.35,1,-1,11.15,0,0.325,90,front,R531,R503,
R531,ff6161,1.6,3.2,0.6,1,17.95,0,0.325,270,front,C512,ZD504,
C512,f27a46,3.5,1.9,1.9,1,20.2,0,0.325,0,front,D505,null,
D505,fc9803,2,3.9,1.5,1,24.35,0,0.325,270,front,R523,null,
R523,ad430e,0.8,1.6,0.45,1,27,0,0.325,90,front,null,null,
ZD504,e02900,5.4,3.6,2.3,1,17.95,3.85,0.325,0,front,R519,R532,
R519,ff8e61,1.02,0.51,0.51,1,24,4.55,0.325,0,front,C519,null,
C519,d49c11,1.25,2,1.25,1,25.67,4.55,0.325,90,front,null,null,
R532,e0a500,3.2,1.6,0.6,1,17.95,8.1,0.325,180,front,R530,null,
R530,f24b4b,1.6,3.2,0.6,1,21.8,8.1,0.325,90,front,D508,null,
D508,ffc72b,2,3.9,1.2,1,24.05,7.2,0.325,90,front,null,null,
R503,055d7d,3.2,1.6,0.6,-1,11.15,6,0.325,0,front,C520,null,
C520,7babd1,0.5,1,0.5,-1,15,6,0.325,90,front,null,M503,
M503,1a1a1a,13.43,9.4,1.35,0,15,11.95,0.2,90,front,null,null,
L501,368f99,4.6,4.1,2,-1,5.15,4.65,0.325,0,front,R515,null,
R515,6857b5,3.2,1.6,0.6,-1,10.4,8.25,0.325,180,front,null,null,
C507,094a66,6.8,7.8,6.1,-1,0.4,9.4,0.325,90,front,ZD501,R527,
ZD501,0e5ac4,1.7,3.85,1.45,-1,7.85,9.4,0.325,90,front,R501,C506,
R501,191282,2,1.25,0.5,-1,10.2,10.5,0.325,0,front,R517,null,
R517,4e1f8c,1.25,2,0.6,-1,12.85,10.5,0.325,90,front,null,null,
C506,1f2a8c,1.6,3.2,1.6,-1,7.85,13.9,0.325,270,front,null,null,
R527,00a5e0,1.02,0.51,0.51,-1,0.4,17.85,0.325,0,front,null,C511,
C511,5a12a6,3.5,1.9,1.9,-1,0.4,19.01,0.325,0,front,C505,null,
C505,092cb8,1.6,3.2,1.6,-1,4.55,17.85,0.325,270,front,D509,null,
D509,3181f2,3.85,1.7,1.45,-1,6.8,17.85,0.325,0,front,null,C525,
C525,385369,0.8,1.6,0.8,-1,6.8,20.2,0.325,90,front,null,null,
B_RootHole,0,2,9,0.1,0,0,0,0.2,0,back,null,C502,
C502,4595ad,3.5,1.9,1.9,-1,0,9.4,0.325,0,back,T501,R518,
T501,cecad488,24,22,24.9,0,4.15,0,0.2,90,back,null,null,
R518,3609d9,1.02,0.51,0.51,-1,0,11.95,0.325,180,back,C518,D506,
C518,a65735,1.6,0.8,0.8,-1,1.67,11.95,0.325,0,back,null,null,
D506,225d6e,1.35,2.8,1.1,-1,0,13.4,0.325,90,back,null,null,
